@frequency,provider_code,dataset_code,dataset_name,series_code,series_name,original_period,period,original_value,value,LOCATION,INDICATOR,SUBJECT,MEASURE,FREQUENCY,Country,Indicator,Subject,Measure,Frequency
quarterly,OECD,DP_LIVE,OECD Data Live dataset,FRA.CPI.TOT.AGRWTH.Q,France – Inflation (CPI) – Total – Annual growth rate (%) – Quarterly,1956-Q1,1956-01-01,1.746324,1.746324,FRA,CPI,TOT,AGRWTH,Q,France,Inflation (CPI),Total,Annual growth rate (%),Quarterly
quarterly,OECD,DP_LIVE,OECD Data Live dataset,FRA.CPI.TOT.AGRWTH.Q,France – Inflation (CPI) – Total – Annual growth rate (%) – Quarterly,1956-Q2,1956-04-01,1.838658,1.838658,FRA,CPI,TOT,AGRWTH,Q,France,Inflation (CPI),Total,Annual growth rate (%),Quarterly
quarterly,OECD,DP_LIVE,OECD Data Live dataset,FRA.CPI.TOT.AGRWTH.Q,France – Inflation (CPI) – Total – Annual growth rate (%) – Quarterly,1956-Q3,1956-07-01,2.670692,2.670692,FRA,CPI,TOT,AGRWTH,Q,France,Inflation (CPI),Total,Annual growth rate (%),Quarterly
quarterly,OECD,DP_LIVE,OECD Data Live dataset,FRA.CPI.TOT.AGRWTH.Q,France – Inflation (CPI) – Total – Annual growth rate (%) – Quarterly,1956-Q4,1956-10-01,1.345803,1.345803,FRA,CPI,TOT,AGRWTH,Q,France,Inflation (CPI),Total,Annual growth rate (%),Quarterly
quarterly,OECD,DP_LIVE,OECD Data Live dataset,FRA.CPI.TOT.AGRWTH.Q,France – Inflation (CPI) – Total – Annual growth rate (%) – Quarterly,1957-Q1,1957-01-01,0.5432153,0.5432153,FRA,CPI,TOT,AGRWTH,Q,France,Inflation (CPI),Total,Annual growth rate (%),Quarterly
quarterly,OECD,DP_LIVE,OECD Data Live dataset,FRA.CPI.TOT.AGRWTH.Q,France – Inflation (CPI) – Total – Annual growth rate (%) – Quarterly,1957-Q2,1957-04-01,0.1094158,0.1094158,FRA,CPI,TOT,AGRWTH,Q,France,Inflation (CPI),Total,Annual growth rate (%),Quarterly
quarterly,OECD,DP_LIVE,OECD Data Live dataset,FRA.CPI.TOT.AGRWTH.Q,France – Inflation (CPI) – Total – Annual growth rate (%) – Quarterly,1957-Q3,1957-07-01,3.401582,3.401582,FRA,CPI,TOT,AGRWTH,Q,France,Inflation (CPI),Total,Annual growth rate (%),Quarterly
quarterly,OECD,DP_LIVE,OECD Data Live dataset,FRA.CPI.TOT.AGRWTH.Q,France – Inflation (CPI) – Total – Annual growth rate (%) – Quarterly,1957-Q4,1957-10-01,8.161716,8.161716,FRA,CPI,TOT,AGRWTH,Q,France,Inflation (CPI),Total,Annual growth rate (%),Quarterly
quarterly,OECD,DP_LIVE,OECD Data Live dataset,FRA.CPI.TOT.AGRWTH.Q,France – Inflation (CPI) – Total – Annual growth rate (%) – Quarterly,1958-Q1,1958-01-01,15.42025,15.42025,FRA,CPI,TOT,AGRWTH,Q,France,Inflation (CPI),Total,Annual growth rate (%),Quarterly
quarterly,OECD,DP_LIVE,OECD Data Live dataset,FRA.CPI.TOT.AGRWTH.Q,France – Inflation (CPI) – Total – Annual growth rate (%) – Quarterly,1958-Q2,1958-04-01,18.56526,18.56526,FRA,CPI,TOT,AGRWTH,Q,France,Inflation (CPI),Total,Annual growth rate (%),Quarterly
quarterly,OECD,DP_LIVE,OECD Data Live dataset,FRA.CPI.TOT.AGRWTH.Q,France – Inflation (CPI) – Total – Annual growth rate (%) – Quarterly,1958-Q3,1958-07-01,16.17789,16.17789,FRA,CPI,TOT,AGRWTH,Q,France,Inflation (CPI),Total,Annual growth rate (%),Quarterly
quarterly,OECD,DP_LIVE,OECD Data Live dataset,FRA.CPI.TOT.AGRWTH.Q,France – Inflation (CPI) – Total – Annual growth rate (%) – Quarterly,1958-Q4,1958-10-01,11.18945,11.18945,FRA,CPI,TOT,AGRWTH,Q,France,Inflation (CPI),Total,Annual growth rate (%),Quarterly
quarterly,OECD,DP_LIVE,OECD Data Live dataset,FRA.CPI.TOT.AGRWTH.Q,France – Inflation (CPI) – Total – Annual growth rate (%) – Quarterly,1959-Q1,1959-01-01,7.540138,7.540138,FRA,CPI,TOT,AGRWTH,Q,France,Inflation (CPI),Total,Annual growth rate (%),Quarterly
quarterly,OECD,DP_LIVE,OECD Data Live dataset,FRA.CPI.TOT.AGRWTH.Q,France – Inflation (CPI) – Total – Annual growth rate (%) – Quarterly,1959-Q2,1959-04-01,5.014006,5.014006,FRA,CPI,TOT,AGRWTH,Q,France,Inflation (CPI),Total,Annual growth rate (%),Quarterly
quarterly,OECD,DP_LIVE,OECD Data Live dataset,FRA.CPI.TOT.AGRWTH.Q,France – Inflation (CPI) – Total – Annual growth rate (%) – Quarterly,1959-Q3,1959-07-01,4.771151,4.771151,FRA,CPI,TOT,AGRWTH,Q,France,Inflation (CPI),Total,Annual growth rate (%),Quarterly
quarterly,OECD,DP_LIVE,OECD Data Live dataset,FRA.CPI.TOT.AGRWTH.Q,France – Inflation (CPI) – Total – Annual growth rate (%) – Quarterly,1959-Q4,1959-10-01,5.982906,5.982906,FRA,CPI,TOT,AGRWTH,Q,France,Inflation (CPI),Total,Annual growth rate (%),Quarterly
quarterly,OECD,DP_LIVE,OECD Data Live dataset,FRA.CPI.TOT.AGRWTH.Q,France – Inflation (CPI) – Total – Annual growth rate (%) – Quarterly,1960-Q1,1960-01-01,4.21221,4.21221,FRA,CPI,TOT,AGRWTH,Q,France,Inflation (CPI),Total,Annual growth rate (%),Quarterly
quarterly,OECD,DP_LIVE,OECD Data Live dataset,FRA.CPI.TOT.AGRWTH.Q,France – Inflation (CPI) – Total – Annual growth rate (%) – Quarterly,1960-Q2,1960-04-01,4.321152,4.321152,FRA,CPI,TOT,AGRWTH,Q,France,Inflation (CPI),Total,Annual growth rate (%),Quarterly
quarterly,OECD,DP_LIVE,OECD Data Live dataset,FRA.CPI.TOT.AGRWTH.Q,France – Inflation (CPI) – Total – Annual growth rate (%) – Quarterly,1960-Q3,1960-07-01,4.500926,4.500926,FRA,CPI,TOT,AGRWTH,Q,France,Inflation (CPI),Total,Annual growth rate (%),Quarterly
quarterly,OECD,DP_LIVE,OECD Data Live dataset,FRA.CPI.TOT.AGRWTH.Q,France – Inflation (CPI) – Total – Annual growth rate (%) – Quarterly,1960-Q4,1960-10-01,3.537981,3.537981,FRA,CPI,TOT,AGRWTH,Q,France,Inflation (CPI),Total,Annual growth rate (%),Quarterly
quarterly,OECD,DP_LIVE,OECD Data Live dataset,FRA.CPI.TOT.AGRWTH.Q,France – Inflation (CPI) – Total – Annual growth rate (%) – Quarterly,1961-Q1,1961-01-01,2.174469,2.174469,FRA,CPI,TOT,AGRWTH,Q,France,Inflation (CPI),Total,Annual growth rate (%),Quarterly
quarterly,OECD,DP_LIVE,OECD Data Live dataset,FRA.CPI.TOT.AGRWTH.Q,France – Inflation (CPI) – Total – Annual growth rate (%) – Quarterly,1961-Q2,1961-04-01,1.789824,1.789824,FRA,CPI,TOT,AGRWTH,Q,France,Inflation (CPI),Total,Annual growth rate (%),Quarterly
quarterly,OECD,DP_LIVE,OECD Data Live dataset,FRA.CPI.TOT.AGRWTH.Q,France – Inflation (CPI) – Total – Annual growth rate (%) – Quarterly,1961-Q3,1961-07-01,1.976184,1.976184,FRA,CPI,TOT,AGRWTH,Q,France,Inflation (CPI),Total,Annual growth rate (%),Quarterly
quarterly,OECD,DP_LIVE,OECD Data Live dataset,FRA.CPI.TOT.AGRWTH.Q,France – Inflation (CPI) – Total – Annual growth rate (%) – Quarterly,1961-Q4,1961-10-01,3.643216,3.643216,FRA,CPI,TOT,AGRWTH,Q,France,Inflation (CPI),Total,Annual growth rate (%),Quarterly
quarterly,OECD,DP_LIVE,OECD Data Live dataset,FRA.CPI.TOT.AGRWTH.Q,France – Inflation (CPI) – Total – Annual growth rate (%) – Quarterly,1962-Q1,1962-01-01,4.840764,4.840764,FRA,CPI,TOT,AGRWTH,Q,France,Inflation (CPI),Total,Annual growth rate (%),Quarterly
quarterly,OECD,DP_LIVE,OECD Data Live dataset,FRA.CPI.TOT.AGRWTH.Q,France – Inflation (CPI) – Total – Annual growth rate (%) – Quarterly,1962-Q2,1962-04-01,6.215726,6.215726,FRA,CPI,TOT,AGRWTH,Q,France,Inflation (CPI),Total,Annual growth rate (%),Quarterly
quarterly,OECD,DP_LIVE,OECD Data Live dataset,FRA.CPI.TOT.AGRWTH.Q,France – Inflation (CPI) – Total – Annual growth rate (%) – Quarterly,1962-Q3,1962-07-01,5.935055,5.935055,FRA,CPI,TOT,AGRWTH,Q,France,Inflation (CPI),Total,Annual growth rate (%),Quarterly
quarterly,OECD,DP_LIVE,OECD Data Live dataset,FRA.CPI.TOT.AGRWTH.Q,France – Inflation (CPI) – Total – Annual growth rate (%) – Quarterly,1962-Q4,1962-10-01,4.363488,4.363488,FRA,CPI,TOT,AGRWTH,Q,France,Inflation (CPI),Total,Annual growth rate (%),Quarterly
quarterly,OECD,DP_LIVE,OECD Data Live dataset,FRA.CPI.TOT.AGRWTH.Q,France – Inflation (CPI) – Total – Annual growth rate (%) – Quarterly,1963-Q1,1963-01-01,4.603927,4.603927,FRA,CPI,TOT,AGRWTH,Q,France,Inflation (CPI),Total,Annual growth rate (%),Quarterly
quarterly,OECD,DP_LIVE,OECD Data Live dataset,FRA.CPI.TOT.AGRWTH.Q,France – Inflation (CPI) – Total – Annual growth rate (%) – Quarterly,1963-Q2,1963-04-01,4.693262,4.693262,FRA,CPI,TOT,AGRWTH,Q,France,Inflation (CPI),Total,Annual growth rate (%),Quarterly
quarterly,OECD,DP_LIVE,OECD Data Live dataset,FRA.CPI.TOT.AGRWTH.Q,France – Inflation (CPI) – Total – Annual growth rate (%) – Quarterly,1963-Q3,1963-07-01,5.319149,5.319149,FRA,CPI,TOT,AGRWTH,Q,France,Inflation (CPI),Total,Annual growth rate (%),Quarterly
quarterly,OECD,DP_LIVE,OECD Data Live dataset,FRA.CPI.TOT.AGRWTH.Q,France – Inflation (CPI) – Total – Annual growth rate (%) – Quarterly,1963-Q4,1963-10-01,5.367138,5.367138,FRA,CPI,TOT,AGRWTH,Q,France,Inflation (CPI),Total,Annual growth rate (%),Quarterly
quarterly,OECD,DP_LIVE,OECD Data Live dataset,FRA.CPI.TOT.AGRWTH.Q,France – Inflation (CPI) – Total – Annual growth rate (%) – Quarterly,1964-Q1,1964-01-01,4.271845,4.271845,FRA,CPI,TOT,AGRWTH,Q,France,Inflation (CPI),Total,Annual growth rate (%),Quarterly
quarterly,OECD,DP_LIVE,OECD Data Live dataset,FRA.CPI.TOT.AGRWTH.Q,France – Inflation (CPI) – Total – Annual growth rate (%) – Quarterly,1964-Q2,1964-04-01,3.490234,3.490234,FRA,CPI,TOT,AGRWTH,Q,France,Inflation (CPI),Total,Annual growth rate (%),Quarterly
quarterly,OECD,DP_LIVE,OECD Data Live dataset,FRA.CPI.TOT.AGRWTH.Q,France – Inflation (CPI) – Total – Annual growth rate (%) – Quarterly,1964-Q3,1964-07-01,2.746212,2.746212,FRA,CPI,TOT,AGRWTH,Q,France,Inflation (CPI),Total,Annual growth rate (%),Quarterly
quarterly,OECD,DP_LIVE,OECD Data Live dataset,FRA.CPI.TOT.AGRWTH.Q,France – Inflation (CPI) – Total – Annual growth rate (%) – Quarterly,1964-Q4,1964-10-01,2.375,2.375,FRA,CPI,TOT,AGRWTH,Q,France,Inflation (CPI),Total,Annual growth rate (%),Quarterly
quarterly,OECD,DP_LIVE,OECD Data Live dataset,FRA.CPI.TOT.AGRWTH.Q,France – Inflation (CPI) – Total – Annual growth rate (%) – Quarterly,1965-Q1,1965-01-01,2.38982,2.38982,FRA,CPI,TOT,AGRWTH,Q,France,Inflation (CPI),Total,Annual growth rate (%),Quarterly
quarterly,OECD,DP_LIVE,OECD Data Live dataset,FRA.CPI.TOT.AGRWTH.Q,France – Inflation (CPI) – Total – Annual growth rate (%) – Quarterly,1965-Q2,1965-04-01,3.217822,3.217822,FRA,CPI,TOT,AGRWTH,Q,France,Inflation (CPI),Total,Annual growth rate (%),Quarterly
quarterly,OECD,DP_LIVE,OECD Data Live dataset,FRA.CPI.TOT.AGRWTH.Q,France – Inflation (CPI) – Total – Annual growth rate (%) – Quarterly,1965-Q3,1965-07-01,2.672811,2.672811,FRA,CPI,TOT,AGRWTH,Q,France,Inflation (CPI),Total,Annual growth rate (%),Quarterly
quarterly,OECD,DP_LIVE,OECD Data Live dataset,FRA.CPI.TOT.AGRWTH.Q,France – Inflation (CPI) – Total – Annual growth rate (%) – Quarterly,1965-Q4,1965-10-01,2.533577,2.533577,FRA,CPI,TOT,AGRWTH,Q,France,Inflation (CPI),Total,Annual growth rate (%),Quarterly
quarterly,OECD,DP_LIVE,OECD Data Live dataset,FRA.CPI.TOT.AGRWTH.Q,France – Inflation (CPI) – Total – Annual growth rate (%) – Quarterly,1966-Q1,1966-01-01,2.667475,2.667475,FRA,CPI,TOT,AGRWTH,Q,France,Inflation (CPI),Total,Annual growth rate (%),Quarterly
quarterly,OECD,DP_LIVE,OECD Data Live dataset,FRA.CPI.TOT.AGRWTH.Q,France – Inflation (CPI) – Total – Annual growth rate (%) – Quarterly,1966-Q2,1966-04-01,2.278177,2.278177,FRA,CPI,TOT,AGRWTH,Q,France,Inflation (CPI),Total,Annual growth rate (%),Quarterly
quarterly,OECD,DP_LIVE,OECD Data Live dataset,FRA.CPI.TOT.AGRWTH.Q,France – Inflation (CPI) – Total – Annual growth rate (%) – Quarterly,1966-Q3,1966-07-01,2.663076,2.663076,FRA,CPI,TOT,AGRWTH,Q,France,Inflation (CPI),Total,Annual growth rate (%),Quarterly
quarterly,OECD,DP_LIVE,OECD Data Live dataset,FRA.CPI.TOT.AGRWTH.Q,France – Inflation (CPI) – Total – Annual growth rate (%) – Quarterly,1966-Q4,1966-10-01,2.798452,2.798452,FRA,CPI,TOT,AGRWTH,Q,France,Inflation (CPI),Total,Annual growth rate (%),Quarterly
quarterly,OECD,DP_LIVE,OECD Data Live dataset,FRA.CPI.TOT.AGRWTH.Q,France – Inflation (CPI) – Total – Annual growth rate (%) – Quarterly,1967-Q1,1967-01-01,2.804842,2.804842,FRA,CPI,TOT,AGRWTH,Q,France,Inflation (CPI),Total,Annual growth rate (%),Quarterly
quarterly,OECD,DP_LIVE,OECD Data Live dataset,FRA.CPI.TOT.AGRWTH.Q,France – Inflation (CPI) – Total – Annual growth rate (%) – Quarterly,1967-Q2,1967-04-01,2.461899,2.461899,FRA,CPI,TOT,AGRWTH,Q,France,Inflation (CPI),Total,Annual growth rate (%),Quarterly
quarterly,OECD,DP_LIVE,OECD Data Live dataset,FRA.CPI.TOT.AGRWTH.Q,France – Inflation (CPI) – Total – Annual growth rate (%) – Quarterly,1967-Q3,1967-07-01,2.56485,2.56485,FRA,CPI,TOT,AGRWTH,Q,France,Inflation (CPI),Total,Annual growth rate (%),Quarterly
quarterly,OECD,DP_LIVE,OECD Data Live dataset,FRA.CPI.TOT.AGRWTH.Q,France – Inflation (CPI) – Total – Annual growth rate (%) – Quarterly,1967-Q4,1967-10-01,3.330437,3.330437,FRA,CPI,TOT,AGRWTH,Q,France,Inflation (CPI),Total,Annual growth rate (%),Quarterly
quarterly,OECD,DP_LIVE,OECD Data Live dataset,FRA.CPI.TOT.AGRWTH.Q,France – Inflation (CPI) – Total – Annual growth rate (%) – Quarterly,1968-Q1,1968-01-01,3.905801,3.905801,FRA,CPI,TOT,AGRWTH,Q,France,Inflation (CPI),Total,Annual growth rate (%),Quarterly
quarterly,OECD,DP_LIVE,OECD Data Live dataset,FRA.CPI.TOT.AGRWTH.Q,France – Inflation (CPI) – Total – Annual growth rate (%) – Quarterly,1968-Q2,1968-04-01,4.176201,4.176201,FRA,CPI,TOT,AGRWTH,Q,France,Inflation (CPI),Total,Annual growth rate (%),Quarterly
quarterly,OECD,DP_LIVE,OECD Data Live dataset,FRA.CPI.TOT.AGRWTH.Q,France – Inflation (CPI) – Total – Annual growth rate (%) – Quarterly,1968-Q3,1968-07-01,4.745667,4.745667,FRA,CPI,TOT,AGRWTH,Q,France,Inflation (CPI),Total,Annual growth rate (%),Quarterly
quarterly,OECD,DP_LIVE,OECD Data Live dataset,FRA.CPI.TOT.AGRWTH.Q,France – Inflation (CPI) – Total – Annual growth rate (%) – Quarterly,1968-Q4,1968-10-01,5.325112,5.325112,FRA,CPI,TOT,AGRWTH,Q,France,Inflation (CPI),Total,Annual growth rate (%),Quarterly
quarterly,OECD,DP_LIVE,OECD Data Live dataset,FRA.CPI.TOT.AGRWTH.Q,France – Inflation (CPI) – Total – Annual growth rate (%) – Quarterly,1969-Q1,1969-01-01,5.693753,5.693753,FRA,CPI,TOT,AGRWTH,Q,France,Inflation (CPI),Total,Annual growth rate (%),Quarterly
quarterly,OECD,DP_LIVE,OECD Data Live dataset,FRA.CPI.TOT.AGRWTH.Q,France – Inflation (CPI) – Total – Annual growth rate (%) – Quarterly,1969-Q2,1969-04-01,6.370126,6.370126,FRA,CPI,TOT,AGRWTH,Q,France,Inflation (CPI),Total,Annual growth rate (%),Quarterly
quarterly,OECD,DP_LIVE,OECD Data Live dataset,FRA.CPI.TOT.AGRWTH.Q,France – Inflation (CPI) – Total – Annual growth rate (%) – Quarterly,1969-Q3,1969-07-01,6.321216,6.321216,FRA,CPI,TOT,AGRWTH,Q,France,Inflation (CPI),Total,Annual growth rate (%),Quarterly
quarterly,OECD,DP_LIVE,OECD Data Live dataset,FRA.CPI.TOT.AGRWTH.Q,France – Inflation (CPI) – Total – Annual growth rate (%) – Quarterly,1969-Q4,1969-10-01,5.800958,5.800958,FRA,CPI,TOT,AGRWTH,Q,France,Inflation (CPI),Total,Annual growth rate (%),Quarterly
quarterly,OECD,DP_LIVE,OECD Data Live dataset,FRA.CPI.TOT.AGRWTH.Q,France – Inflation (CPI) – Total – Annual growth rate (%) – Quarterly,1970-Q1,1970-01-01,5.526357,5.526357,FRA,CPI,TOT,AGRWTH,Q,France,Inflation (CPI),Total,Annual growth rate (%),Quarterly
quarterly,OECD,DP_LIVE,OECD Data Live dataset,FRA.CPI.TOT.AGRWTH.Q,France – Inflation (CPI) – Total – Annual growth rate (%) – Quarterly,1970-Q2,1970-04-01,5.437259,5.437259,FRA,CPI,TOT,AGRWTH,Q,France,Inflation (CPI),Total,Annual growth rate (%),Quarterly
quarterly,OECD,DP_LIVE,OECD Data Live dataset,FRA.CPI.TOT.AGRWTH.Q,France – Inflation (CPI) – Total – Annual growth rate (%) – Quarterly,1970-Q3,1970-07-01,5.275131,5.275131,FRA,CPI,TOT,AGRWTH,Q,France,Inflation (CPI),Total,Annual growth rate (%),Quarterly
quarterly,OECD,DP_LIVE,OECD Data Live dataset,FRA.CPI.TOT.AGRWTH.Q,France – Inflation (CPI) – Total – Annual growth rate (%) – Quarterly,1970-Q4,1970-10-01,4.971684,4.971684,FRA,CPI,TOT,AGRWTH,Q,France,Inflation (CPI),Total,Annual growth rate (%),Quarterly
quarterly,OECD,DP_LIVE,OECD Data Live dataset,FRA.CPI.TOT.AGRWTH.Q,France – Inflation (CPI) – Total – Annual growth rate (%) – Quarterly,1971-Q1,1971-01-01,4.854039,4.854039,FRA,CPI,TOT,AGRWTH,Q,France,Inflation (CPI),Total,Annual growth rate (%),Quarterly
quarterly,OECD,DP_LIVE,OECD Data Live dataset,FRA.CPI.TOT.AGRWTH.Q,France – Inflation (CPI) – Total – Annual growth rate (%) – Quarterly,1971-Q2,1971-04-01,5.231388,5.231388,FRA,CPI,TOT,AGRWTH,Q,France,Inflation (CPI),Total,Annual growth rate (%),Quarterly
quarterly,OECD,DP_LIVE,OECD Data Live dataset,FRA.CPI.TOT.AGRWTH.Q,France – Inflation (CPI) – Total – Annual growth rate (%) – Quarterly,1971-Q3,1971-07-01,5.61089,5.61089,FRA,CPI,TOT,AGRWTH,Q,France,Inflation (CPI),Total,Annual growth rate (%),Quarterly
quarterly,OECD,DP_LIVE,OECD Data Live dataset,FRA.CPI.TOT.AGRWTH.Q,France – Inflation (CPI) – Total – Annual growth rate (%) – Quarterly,1971-Q4,1971-10-01,5.874631,5.874631,FRA,CPI,TOT,AGRWTH,Q,France,Inflation (CPI),Total,Annual growth rate (%),Quarterly
quarterly,OECD,DP_LIVE,OECD Data Live dataset,FRA.CPI.TOT.AGRWTH.Q,France – Inflation (CPI) – Total – Annual growth rate (%) – Quarterly,1972-Q1,1972-01-01,5.73001,5.73001,FRA,CPI,TOT,AGRWTH,Q,France,Inflation (CPI),Total,Annual growth rate (%),Quarterly
quarterly,OECD,DP_LIVE,OECD Data Live dataset,FRA.CPI.TOT.AGRWTH.Q,France – Inflation (CPI) – Total – Annual growth rate (%) – Quarterly,1972-Q2,1972-04-01,5.544933,5.544933,FRA,CPI,TOT,AGRWTH,Q,France,Inflation (CPI),Total,Annual growth rate (%),Quarterly
quarterly,OECD,DP_LIVE,OECD Data Live dataset,FRA.CPI.TOT.AGRWTH.Q,France – Inflation (CPI) – Total – Annual growth rate (%) – Quarterly,1972-Q3,1972-07-01,6.130148,6.130148,FRA,CPI,TOT,AGRWTH,Q,France,Inflation (CPI),Total,Annual growth rate (%),Quarterly
quarterly,OECD,DP_LIVE,OECD Data Live dataset,FRA.CPI.TOT.AGRWTH.Q,France – Inflation (CPI) – Total – Annual growth rate (%) – Quarterly,1972-Q4,1972-10-01,6.819591,6.819591,FRA,CPI,TOT,AGRWTH,Q,France,Inflation (CPI),Total,Annual growth rate (%),Quarterly
quarterly,OECD,DP_LIVE,OECD Data Live dataset,FRA.CPI.TOT.AGRWTH.Q,France – Inflation (CPI) – Total – Annual growth rate (%) – Quarterly,1973-Q1,1973-01-01,6.460502,6.460502,FRA,CPI,TOT,AGRWTH,Q,France,Inflation (CPI),Total,Annual growth rate (%),Quarterly
quarterly,OECD,DP_LIVE,OECD Data Live dataset,FRA.CPI.TOT.AGRWTH.Q,France – Inflation (CPI) – Total – Annual growth rate (%) – Quarterly,1973-Q2,1973-04-01,7.095411,7.095411,FRA,CPI,TOT,AGRWTH,Q,France,Inflation (CPI),Total,Annual growth rate (%),Quarterly
quarterly,OECD,DP_LIVE,OECD Data Live dataset,FRA.CPI.TOT.AGRWTH.Q,France – Inflation (CPI) – Total – Annual growth rate (%) – Quarterly,1973-Q3,1973-07-01,7.612559,7.612559,FRA,CPI,TOT,AGRWTH,Q,France,Inflation (CPI),Total,Annual growth rate (%),Quarterly
quarterly,OECD,DP_LIVE,OECD Data Live dataset,FRA.CPI.TOT.AGRWTH.Q,France – Inflation (CPI) – Total – Annual growth rate (%) – Quarterly,1973-Q4,1973-10-01,8.299478,8.299478,FRA,CPI,TOT,AGRWTH,Q,France,Inflation (CPI),Total,Annual growth rate (%),Quarterly
quarterly,OECD,DP_LIVE,OECD Data Live dataset,FRA.CPI.TOT.AGRWTH.Q,France – Inflation (CPI) – Total – Annual growth rate (%) – Quarterly,1974-Q1,1974-01-01,11.33161,11.33161,FRA,CPI,TOT,AGRWTH,Q,France,Inflation (CPI),Total,Annual growth rate (%),Quarterly
quarterly,OECD,DP_LIVE,OECD Data Live dataset,FRA.CPI.TOT.AGRWTH.Q,France – Inflation (CPI) – Total – Annual growth rate (%) – Quarterly,1974-Q2,1974-04-01,13.56076,13.56076,FRA,CPI,TOT,AGRWTH,Q,France,Inflation (CPI),Total,Annual growth rate (%),Quarterly
quarterly,OECD,DP_LIVE,OECD Data Live dataset,FRA.CPI.TOT.AGRWTH.Q,France – Inflation (CPI) – Total – Annual growth rate (%) – Quarterly,1974-Q3,1974-07-01,14.56097,14.56097,FRA,CPI,TOT,AGRWTH,Q,France,Inflation (CPI),Total,Annual growth rate (%),Quarterly
quarterly,OECD,DP_LIVE,OECD Data Live dataset,FRA.CPI.TOT.AGRWTH.Q,France – Inflation (CPI) – Total – Annual growth rate (%) – Quarterly,1974-Q4,1974-10-01,15.00536,15.00536,FRA,CPI,TOT,AGRWTH,Q,France,Inflation (CPI),Total,Annual growth rate (%),Quarterly
quarterly,OECD,DP_LIVE,OECD Data Live dataset,FRA.CPI.TOT.AGRWTH.Q,France – Inflation (CPI) – Total – Annual growth rate (%) – Quarterly,1975-Q1,1975-01-01,13.94988,13.94988,FRA,CPI,TOT,AGRWTH,Q,France,Inflation (CPI),Total,Annual growth rate (%),Quarterly
quarterly,OECD,DP_LIVE,OECD Data Live dataset,FRA.CPI.TOT.AGRWTH.Q,France – Inflation (CPI) – Total – Annual growth rate (%) – Quarterly,1975-Q2,1975-04-01,12.16485,12.16485,FRA,CPI,TOT,AGRWTH,Q,France,Inflation (CPI),Total,Annual growth rate (%),Quarterly
quarterly,OECD,DP_LIVE,OECD Data Live dataset,FRA.CPI.TOT.AGRWTH.Q,France – Inflation (CPI) – Total – Annual growth rate (%) – Quarterly,1975-Q3,1975-07-01,10.93224,10.93224,FRA,CPI,TOT,AGRWTH,Q,France,Inflation (CPI),Total,Annual growth rate (%),Quarterly
quarterly,OECD,DP_LIVE,OECD Data Live dataset,FRA.CPI.TOT.AGRWTH.Q,France – Inflation (CPI) – Total – Annual growth rate (%) – Quarterly,1975-Q4,1975-10-01,9.925443,9.925443,FRA,CPI,TOT,AGRWTH,Q,France,Inflation (CPI),Total,Annual growth rate (%),Quarterly
quarterly,OECD,DP_LIVE,OECD Data Live dataset,FRA.CPI.TOT.AGRWTH.Q,France – Inflation (CPI) – Total – Annual growth rate (%) – Quarterly,1976-Q1,1976-01-01,9.566992,9.566992,FRA,CPI,TOT,AGRWTH,Q,France,Inflation (CPI),Total,Annual growth rate (%),Quarterly
quarterly,OECD,DP_LIVE,OECD Data Live dataset,FRA.CPI.TOT.AGRWTH.Q,France – Inflation (CPI) – Total – Annual growth rate (%) – Quarterly,1976-Q2,1976-04-01,9.406817,9.406817,FRA,CPI,TOT,AGRWTH,Q,France,Inflation (CPI),Total,Annual growth rate (%),Quarterly
quarterly,OECD,DP_LIVE,OECD Data Live dataset,FRA.CPI.TOT.AGRWTH.Q,France – Inflation (CPI) – Total – Annual growth rate (%) – Quarterly,1976-Q3,1976-07-01,9.551657,9.551657,FRA,CPI,TOT,AGRWTH,Q,France,Inflation (CPI),Total,Annual growth rate (%),Quarterly
quarterly,OECD,DP_LIVE,OECD Data Live dataset,FRA.CPI.TOT.AGRWTH.Q,France – Inflation (CPI) – Total – Annual growth rate (%) – Quarterly,1976-Q4,1976-10-01,9.961848,9.961848,FRA,CPI,TOT,AGRWTH,Q,France,Inflation (CPI),Total,Annual growth rate (%),Quarterly
quarterly,OECD,DP_LIVE,OECD Data Live dataset,FRA.CPI.TOT.AGRWTH.Q,France – Inflation (CPI) – Total – Annual growth rate (%) – Quarterly,1977-Q1,1977-01-01,9.021312,9.021312,FRA,CPI,TOT,AGRWTH,Q,France,Inflation (CPI),Total,Annual growth rate (%),Quarterly
quarterly,OECD,DP_LIVE,OECD Data Live dataset,FRA.CPI.TOT.AGRWTH.Q,France – Inflation (CPI) – Total – Annual growth rate (%) – Quarterly,1977-Q2,1977-04-01,9.852317,9.852317,FRA,CPI,TOT,AGRWTH,Q,France,Inflation (CPI),Total,Annual growth rate (%),Quarterly
quarterly,OECD,DP_LIVE,OECD Data Live dataset,FRA.CPI.TOT.AGRWTH.Q,France – Inflation (CPI) – Total – Annual growth rate (%) – Quarterly,1977-Q3,1977-07-01,9.905101,9.905101,FRA,CPI,TOT,AGRWTH,Q,France,Inflation (CPI),Total,Annual growth rate (%),Quarterly
